ID,District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield
36,Gulberga,Kharif,2006,Urad,26.93252033,37.6,20.2,0.701232588,0.18301033600000002,65.65040649999999,-0.287317648,-0.58225501,19.73577236,-0.6627393970000001,0.520674966,6.761788618,4.982667789,0.520674966,4.7707317069999995,0.18
37,Ahmedabad,Kharif,2011,Castor seed,28.64117647,12.5,44.0,1.7694845019999998,3.65907056,76.14771242,-0.6891763390000001,-0.630238353,23.92679739,-1.477530842,1.333825139,,,1.333825139,4.318954248,1.403100775
38,Indore,Whole year,2003,Garlic,25.36648352,8.2,44.2,0.015531092,-0.002967603,54.30659341,-1.395053057,0.125178118,13.70302198,-0.038929648,-1.1338106190000001,2.301648352,34.85531226,5.328131521,2.7107142860000004,4.01
39,Hisar,Whole year,2010,Onion,30.59032258,9.3,48.5,0.530918855,-0.306816037,60.71806452,-0.6374685170000001,-0.80053782,20.75225806,-0.9641781509999999,0.132287767,,,0.132287767,2.759354839,18.18
40,Coimbatore,Whole year,2007,Sesamum,24.9,13.3,35.8,-0.200892866,0.08272874200000001,70.93983516,-0.499927674,-0.69695342,19.07884615,-0.851408299,-0.027269661,5.4436813189999995,2.721245605,7.836997563,3.5434065930000003,0.27
41,Gulberga,Kharif,1998,Maize,26.0699187,41.5,16.2,1.90952952,4.518317597,74.83821138,-1.5681023509999998,2.630531043,20.90325203,-3.1661594689999997,12.67771367,7.059349592999999,2.046571733,12.67771367,3.734146341,3.27
42,Gulberga,Kharif,2007,Castor seed,26.40731707,36.0,15.1,0.37700938700000003,-0.285488936,72.14796748,-0.241649275,-0.8077102970000001,20.88292683,-0.48851375399999997,-0.305563504,8.008130081000001,2.347137405,-0.305563504,4.139837398,0.67
43,Gulberga,Kharif,2000,Moong,26.01300813,36.2,13.9,0.636473445,-0.634396562,71.80569106,-0.490514361,-1.094559345,20.24796748,-0.5648642629999999,-0.41318236799999997,5.829268292999999,4.3645677780000005,-0.41318236799999997,4.126829268,0.45
44,Jaipur,Rabi,2002,Gram,28.21463415,18.4,45.2,1.681195056,2.038018409,73.59268293,-1.6887985319999999,1.5566708569999999,21.85365854,-2.275271644,4.474933163999999,,,4.474933163999999,3.052845528,1.09
45,Hisar,Kharif,2000,Moong,29.28193548,2.9,42.1,0.208760312,-0.013868133999999999,52.61677419,0.06279692,-1.436760015,17.33354839,-0.885805953,-0.444589581,2.118064516,3.6492145889999996,-0.444589581,1.9961290319999998,0.3
46,Indore,Rabi,2011,Mustard,16.92333333,6.9,28.9,-0.46271222799999995,-0.930764923,41.08666667,0.920267594,1.0205827029999999,3.2566666669999997,0.255441756,-1.0259177590000002,,,,2.87,1.24
47,Banswara,Rabi,2008,Rapeseed & mustard,24.70879121,13.8,36.5,-0.05313201,-0.825532857,34.0021978,2.363003169,4.976209358999999,6.976923077,1.162183415,1.292361174,,,1.292361174,2.074725275,1.27
48,Coimbatore,Kharif,2003,Horse-gram,25.13947368,18.5,36.1,0.99693563,0.895685005,75.64539474,-0.936873815,0.315998848,20.45,-1.0494766340000001,1.188922236,7.470394737,2.675233227,8.160320665,4.253947368,0.29
49,Coimbatore,Whole year,2006,Sugarcane,24.94835165,12.8,38.4,0.242190892,0.37827844200000005,68.86758242,-0.6942300440000001,0.21951283300000002,18.58818681,-1.827887992,4.303297938,4.593406593,2.6257233859999998,7.020914534,3.666758242,138.08
50,Jalna,Rabi,2002,Wheat,26.41413613,9.8,42.8,0.646183463,0.09903376300000001,50.81500873,0.460952159,-1.134426766,14.02356021,-0.071131112,-0.922309165,1.813089005,6.641098424,54.60847928,2.853752182,1.59
51,Jalna,Rabi,2003,Rapeseed & mustard,26.71099476,12.2,43.6,0.534708789,-0.436028615,49.95619546,0.661460944,-0.947306641,14.03769634,0.052482083,-0.6972030790000001,1.510645724,8.818788238,106.92113370000001,2.8219895289999997,0.5
52,Gulberga,Whole year,2007,Garlic,27.12931507,12.9,43.0,0.617795933,0.058592217,53.97424658,0.062701896,-1.0140474240000001,16.04575342,-0.569889877,-0.474006005,2.935068493,4.394618736,-0.474006005,3.205205479,1.0
53,Jalna,Rabi,2008,Linseed,26.4417103,10.2,47.5,0.595675349,-0.283261794,46.86596859,0.28742515399999996,-1.180703756,12.45113438,-0.290005521,-0.874772311,1.8581151830000002,5.318550538,32.8969858,3.646247818,0.17
54,Hisar,Kharif,2007,Moth,28.25612903,6.9,44.9,0.13771381,-0.303507987,59.72967742,-0.444718424,-1.07724365,18.65483871,-1.2890299729999999,0.288309834,2.523225806,3.407288157,0.288309834,2.007741935,0.0
55,Indore,Whole year,2008,Coriander,26.01813187,8.1,42.3,-0.037805282999999995,0.07781998,50.72637363,-1.093289669,0.437216878,13.66620879,-0.12057741699999999,-1.14724942,3.0667582419999997,30.16050232,4.846447175,2.671428571,0.36
56,Banswara,Kharif,2004,Jowar,26.91138211,17.9,39.0,1.237734884,1.057764553,75.74227642,-0.987603242,0.006279272,21.97479675,-1.383875531,1.6900395540000002,,,1.6900395540000002,3.728455285,0.46
57,Banglore,Kharif,1998,Moong,25.29259259,15.4,34.1,1.064961016,1.464210534,79.21388889,-1.412638579,2.076645906,21.353703699999997,-1.4195536430000002,3.4857617839999997,9.515740741,2.662755151,7.617467697,3.336111111,0.2
58,Coimbatore,Whole year,2000,Tapioca,25.25521978,13.9,37.5,0.45284179999999996,0.537266871,66.56208791,-0.509996214,-0.739357438,18.27802198,-1.217234006,0.90639042,3.926923077,2.66099327,7.294974647,3.6107142860000003,35.49
59,Ahmedabad,Kharif,2009,Arhar/tur,29.22745098,15.9,46.0,2.044899413,4.270032455,66.25163399,-0.933431655,-0.217584845,21.89281046,-1.93358494,3.09837663,,,3.09837663,4.390849673,0.833333333
60,Banglore,Whole year,2006,Sugarcane,27.53956044,23.7,31.2,-0.244415225,0.083031256,71.87747253,-0.634148136,-0.177026333,22.01071429,-0.7912916879999999,-0.069284439,2.83021978,4.786319359,24.60194386,5.61510989,96.9
61,Banswara,Kharif,2008,Small millets,26.99512195,14.6,40.8,0.9796177429999999,0.8570249809999999,70.60081301,-0.654625063,-0.351846341,20.73577236,-1.651449815,2.483230716,,,2.483230716,3.479674797,0.01
62,Jalna,Kharif,2012,Groundnut,25.79090909,21.1,37.1,0.723878488,-0.008395322,74.68863636,-1.204520564,0.8903579859999999,20.98181818,-0.8878826790000001,0.189557208,,,,7.052272727,0.5
63,Gulberga,Kharif,2000,Bajra,26.01300813,36.2,13.9,0.636473445,-0.634396562,71.80569106,-0.490514361,-1.094559345,20.24796748,-0.5648642629999999,-0.41318236799999997,5.829268292999999,4.3645677780000005,-0.41318236799999997,4.126829268,0.9
64,Ahmedabad,Kharif,2002,Castor seed,29.33006536,16.5,40.0,0.513335156,-0.45786296600000004,59.80457516,-0.45367288200000006,-0.931078253,19.50915033,-1.1574426340000001,0.23947410100000002,3.120915033,4.85565811,0.23947410100000002,3.2941176469999998,1.023560209
65,Tonk,Rabi,2003,Rapeseed & mustard,28.13170732,19.3,41.0,1.063314712,0.47607475,69.61869919,-0.852684524,-0.66688648,21.36666667,-1.6746453999999997,3.143399173,,,3.143399173,2.9569105689999997,0.5
66,Dharwad,Rabi,2011,Groundnut,23.47888889,19.4,30.0,0.6823407020000001,0.537739285,86.89555556,-1.014855766,0.465314548,21.17666667,-1.053385799,1.319652895,,,,4.54,0.96
67,Ahmedabad,Whole year,2000,Tobacco,28.14575342,13.0,41.1,-0.163639135,-0.6370127879999999,44.02328767,0.66783804,-0.932388442,12.9890411,-0.05878367599999999,-1.414732104,1.36739726,8.55049259,-1.414732104,2.899452055,1.7
68,Bhagalpur,Kharif,1999,Maize,21.2902439,9.3,32.5,0.8363936470000001,-0.09001763,56.47886179,-0.062382596,-1.140125002,11.13089431,-0.7105590970000001,0.340682169,,,0.340682169,2.308130081,1.07
69,Jaipur,Kharif,2006,Groundnut,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.17697337800000001,-1.5283633509999999,19.17479675,-0.838352465,-0.37948154,,,-0.37948154,2.9926829269999997,1.61
70,Gulberga,Kharif,1999,Other kharif pulses,24.81463415,34.6,17.7,0.684924271,0.23980327199999998,76.42357724,-0.692298454,-0.44739279600000004,20.31869919,-0.45783486100000004,-0.062850001,4.706504065,3.0730503039999997,-0.062850001,4.384552846,0.15
71,Ahmedabad,Rabi,2004,Gram,25.93311258,13.3,38.2,-0.205832084,-1.1199639479999999,32.16622517,2.782956188,11.59524558,7.589403974,0.810851669,1.372725785,0.11655629099999999,6.872603198999999,1.372725785,2.146357616,0.5625
72,Bhagalpur,Kharif,2005,Sunflower,20.57398374,6.3,33.2,-0.048621277000000004,0.25225258,66.14878049,-1.0736929259999999,-0.231787021,12.99918699,-1.303918401,1.278625841,,,1.278625841,2.386178862,1.45
73,Banglore,Rabi,2009,Rapeseed & mustard,25.92216405,12.1,47.5,0.62625598,-0.42266506299999995,52.07609075,-0.111966551,-1.232406895,13.66928447,-0.261493084,-1.104473869,2.15,4.979702487,26.35690918,3.642582897,0.29
74,Dharwad,Kharif,2009,Moong,25.06111111,20.4,40.1,0.8031358959999999,0.242903719,79.04111111,-1.47588082,1.275894509,21.07,-0.899988131,0.655522866,5.665555556,7.975732087999999,2.7757465310000002,5.084444444,0.27
75,Gulberga,Summer,2011,Rice,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.41741735700000004,-0.612204055,21.19430894,-0.720334958,0.060830445999999996,,,0.060830445999999996,6.360162602000001,1.72
76,Banswara,Kharif,2005,Castor seed,29.34471545,18.5,45.4,1.2186756779999999,2.5648693540000003,59.35365854,-0.190064073,-0.5661822360000001,19.95121951,-1.034155589,0.938689407,,,0.938689407,4.130894308999999,0.23
77,Indore,Rabi,2005,Peas,24.73666667,13.5,34.6,-0.150743034,-0.759198367,45.845,0.07013166900000001,1.265057203,11.225,0.522300409,-0.617988799,,58.57257747,7.617889777,1.756666667,0.32
78,Banglore,Rabi,2010,Ragi,25.49354276,10.2,47.1,0.596526801,-0.155079611,58.20471204,-0.350648505,-1.084945216,15.26893543,-0.418791698,-0.892437613,,,,3.6165794069999997,2.07
79,Gulberga,Whole year,2004,Potato,25.86356164,14.7,41.2,0.954210826,0.35636492,59.02438356,-0.148591988,-1.298788408,16.28493151,-0.647814405,-0.808818299,2.14109589,3.7367090110000003,-0.808818299,3.1098630139999996,16.5
80,Banglore,Kharif,2003,Ragi,24.36851852,17.0,32.9,0.7871921,1.6150583,83.77037037,-2.569036421,7.541343563,21.39259259,-2.138035312,5.771806547000001,6.124074074,4.433394993,26.12874594,3.2842592589999997,1.89
81,Bhagalpur,Rabi,2010,Rapeseed & mustard,13.07013699,-7.8,32.5,-0.319810429,-1.244013187,52.69917808,0.089600294,-1.145533533,2.573424658,0.134897093,-0.9288966359999999,,,-0.9288966359999999,2.5964383559999997,0.98
82,Jaipur,Rabi,2009,Masoor,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,,,1.291102494,3.1121951219999997,1.0
83,Gulberga,Kharif,1998,Soyabean,26.0699187,41.5,16.2,1.90952952,4.518317597,74.83821138,-1.5681023509999998,2.630531043,20.90325203,-3.1661594689999997,12.67771367,7.059349592999999,2.046571733,12.67771367,3.734146341,1.0
84,Gulberga,Kharif,1999,Small millets,24.81463415,34.6,17.7,0.684924271,0.23980327199999998,76.42357724,-0.692298454,-0.44739279600000004,20.31869919,-0.45783486100000004,-0.062850001,4.706504065,3.0730503039999997,-0.062850001,4.384552846,0.52
85,Tonk,Kharif,2006,Castor seed,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.17697337800000001,-1.5283633509999999,19.17479675,-0.838352465,-0.37948154,,,-0.37948154,2.9926829269999997,0.4
86,Tonk,Rabi,2003,Wheat,28.13170732,19.3,41.0,1.063314712,0.47607475,69.61869919,-0.852684524,-0.66688648,21.36666667,-1.6746453999999997,3.143399173,,,3.143399173,2.9569105689999997,1.3
87,Bhagalpur,Kharif,2005,Bajra,20.57398374,6.3,33.2,-0.048621277000000004,0.25225258,66.14878049,-1.0736929259999999,-0.231787021,12.99918699,-1.303918401,1.278625841,,,1.278625841,2.386178862,1.1
88,Rewari,Kharif,2005,Cotton,29.49210526,13.9,44.7,0.17115597300000002,-0.551379363,55.44671053,-0.075588401,-1.349284161,18.30986842,-0.7120380829999999,-0.722233406,3.572368421,4.215975779,22.22606805,2.407236842,2.0222446919999997
89,Jalna,Rabi,2011,Gram,25.42356021,10.2,45.2,0.40185306,-0.250782756,55.46823735,-0.380406001,-1.099642891,14.12565445,-0.810543073,-0.21283298899999997,,,,3.662303665,0.61
90,Banglore,Kharif,2010,Small millets,25.07777778,19.5,32.6,-0.297339215,0.051316562,82.43240741,-0.5567392320000001,-0.37531709700000004,21.88611111,-0.6888459859999999,0.8946796640000001,,,,5.0194444439999995,0.47
91,Bhagalpur,Whole year,2009,Tobacco,12.70246575,-8.0,34.7,-0.13584074,-1.208060185,56.75616438,-0.196632819,-0.9532275,3.344931507,0.285767089,-0.9363047529999999,,,-0.9363047529999999,2.519726027,1.91
92,Tonk,Kharif,1999,Rice,29.97560976,21.1,42.0,0.428656346,-0.708569062,56.020325199999995,0.20977098,-1.4610565569999998,19.07479675,-0.319402101,-0.908993375,,,-0.908993375,3.513821138,0.54
93,Rewari,Whole year,2001,Dry chillies,23.02692308,0.8,45.1,-0.509426267,-0.79829359,53.60851648,0.282533466,-1.3980039780000002,11.975,0.01822615,-1.3951574580000001,1.611263736,5.555887433,36.61877759,2.0027472530000003,0.0
94,Dharwad,Rabi,2011,Other rabi pulses,23.67444444,20.7,29.1,0.533693602,-0.323905771,87.56555556,-0.507778533,1.016039457,21.48888889,0.22894071300000002,-0.189847689,,,,4.3777777780000005,0.9
95,Gulberga,Kharif,2006,Bajra,26.93252033,37.6,20.2,0.701232588,0.18301033600000002,65.65040649999999,-0.287317648,-0.58225501,19.73577236,-0.6627393970000001,0.520674966,6.761788618,4.982667789,0.520674966,4.7707317069999995,0.66
96,Jalna,Kharif,2005,Sesamum,25.56195652,20.2,33.7,0.22542558699999998,-0.736843831,74.53043478,-0.35165314700000005,-0.9447043340000001,20.63152174,-0.31204766899999997,-0.44190358399999996,11.06195652,2.02864921,3.839041413,4.460869565,0.26
97,Gulberga,Rabi,2000,Jowar,25.49504132,12.7,35.6,0.151152688,-0.9217800759999999,41.22892562,1.707084939,3.313715414,10.79008264,0.163517327,-0.5379559629999999,0.792561983,5.322264685,-0.5379559629999999,2.258677686,0.71
98,Gulberga,Rabi,2008,Sunflower,23.57190083,12.4,35.0,-0.48490046299999995,-0.404146751,61.19338843,-0.265066085,-0.7461655009999999,15.26198347,-0.756561395,0.12360089699999999,0.796694215,5.668296432000001,0.12360089699999999,2.630578512,0.41
99,Coimbatore,Whole year,2011,Arhar/tur,23.84835165,14.2,35.8,-0.5768857470000001,-0.012043381,78.43873626,-0.946545098,1.0508047740000002,19.84835165,-1.043918354,0.609759901,,,,3.0387362639999997,0.87
100,Gulberga,Kharif,1999,Ragi,24.81463415,34.6,17.7,0.684924271,0.23980327199999998,76.42357724,-0.692298454,-0.44739279600000004,20.31869919,-0.45783486100000004,-0.062850001,4.706504065,3.0730503039999997,-0.062850001,4.384552846,0.71
101,Rewari,Kharif,2007,Jowar,27.92697368,14.7,42.9,0.282103681,0.350206891,64.93552632,-0.7790169640000001,-0.7213558809999999,19.83684211,-1.4294246469999998,0.669477565,3.6098684210000003,3.9990251089999997,18.95858354,2.203947368,0.648508431
102,Banswara,Whole year,2000,Guar seed,28.17506849,10.5,42.4,-0.021455468,-0.37959197,39.5569863,0.73791843,-0.687871937,11.07479452,0.16309546,-1.232992129,,,-1.232992129,3.205479452,0.17
103,Banswara,Kharif,1997,Soyabean,27.05772358,13.4,40.7,1.862777313,3.556592442,77.23333333,-1.7418726119999999,2.326070509,22.32276423,-2.16232092,5.416920067,,,5.416920067,3.1121951219999997,1.28
104,Hisar,Kharif,2003,Jowar,27.53290323,8.1,44.0,0.393724905,0.137722548,66.95354839,-0.629618856,-1.183308175,20.00903226,-1.063724557,-0.270642905,3.3870967739999998,3.391409264,-0.270642905,1.850322581,0.0
105,Dharwad,Kharif,1998,Cotton,26.37777778,18.9,37.2,0.476150202,-0.581418572,73.68888889,-0.725975762,-0.19254410800000002,21.09111111,-1.7827438580000001,4.057336032,4.794444444,9.153114148,2.810093142,3.981111111,1.85
106,Hisar,Kharif,2007,Castor seed,28.25612903,6.9,44.9,0.13771381,-0.303507987,59.72967742,-0.444718424,-1.07724365,18.65483871,-1.2890299729999999,0.288309834,2.523225806,3.407288157,0.288309834,2.007741935,0.7
107,Banswara,Whole year,2005,Guar seed,27.82849315,10.8,42.0,-0.07130329,-0.306885764,41.16136986,0.9244959490000001,-0.024316502,12.12136986,0.135054554,-1.1055824029999999,,,-1.1055824029999999,3.10109589,0.38
108,Bhagalpur,Whole year,2001,Sweet potato,14.5339726,-5.5,34.5,-0.05302818,-1.25901502,43.20164384,0.643550201,-0.449025946,1.126849315,0.18399641,-0.6812505409999999,,,-0.6812505409999999,2.545479452,11.22
109,Rewari,Whole year,2002,Sugarcane,23.35274725,-2.8,43.5,-0.403140169,-0.9172367709999999,54.63846154,0.100170436,-1.310091396,12.68379121,0.028205139,-1.315261975,0.737362637,5.780772447,39.33714334,2.083791209,0.0
110,Ahmedabad,Kharif,2012,Groundnut,,12.2,47.2,,,,,,,,,,,,,1.5
111,Jalna,Rabi,2000,Maize,26.30488656,11.2,43.2,0.50980168,0.086797065,44.81326353,0.792181623,-0.611538174,11.96561955,0.23335896,-1.161799373,2.10052356,6.125390929,48.8648242,2.95113438,1.16
112,Tonk,Rabi,2009,Gram,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,,,1.291102494,3.1121951219999997,0.91
113,Indore,Whole year,1998,Sugarcane,26.34752747,5.6,43.3,-0.09277471300000001,-0.563823561,47.87252747,-0.762792475,0.48771676,13.23818681,-0.158719967,-1.061682893,1.9623626369999998,31.993940999999996,5.237493296,2.727197802,23.02
114,Hisar,Kharif,2010,Cotton,30.59032258,9.3,48.5,0.530918855,-0.306816037,60.71806452,-0.6374685170000001,-0.80053782,20.75225806,-0.9641781509999999,0.132287767,,,0.132287767,2.759354839,3.47
115,Banglore,Whole year,2004,Tapioca,27.33516484,23.7,30.8,-0.062217418,0.03092742,72.38104396,-0.869467636,0.09642334699999999,21.927197800000002,-0.978575137,0.25809838399999996,2.878571429,4.732548784,25.21943008,5.864835165,7.34
116,Coimbatore,Kharif,2004,Horse-gram,25.05197368,18.4,32.7,0.07890288,-0.543520922,72.20592105,-0.029512646,-0.7844321059999999,19.63486842,-0.752274097,2.071633382,6.8085526320000005,2.807841713,9.112072053,4.668421053,0.49
117,Indore,Whole year,2012,Onion,27.24355556,6.6,48.8,-0.244117117,-1.101679697,37.29466667,-0.34817125299999996,0.993576427,8.901333333,0.23173274800000002,-1.1358879259999999,,,,4.563555556,15.85
